time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-21T12:22:35.410Z,40.1645012,-121.0684967,13.83,2.03,md,30,78,0.3292,0.2,nc,nc72415030,2015-03-21T12:24:12.560Z,"10km WNW of Greenville, California",earthquake
2015-03-21T12:21:58.680Z,33.6393318,-116.6959991,16.26,1.03,ml,35,63,0.03482,0.12,ci,ci37345016,2015-03-21T12:24:33.520Z,"10km NNW of Anza, California",earthquake
2015-03-21T12:04:04.020Z,38.8171654,-122.7945023,1.58,0.83,md,17,45,0.009205,0.03,nc,nc72415020,2015-03-21T12:05:41.080Z,"5km NW of The Geysers, California",earthquake
2015-03-21T11:49:18.090Z,38.8408318,-122.8258362,2.48,0.57,md,9,94,0.007863,0.03,nc,nc72415005,2015-03-21T12:21:06.593Z,"9km WNW of Cobb, California",earthquake
2015-03-21T11:48:42.770Z,38.8409996,-122.8253326,2.47,0.19,md,9,81,0.008287,0.02,nc,nc72415000,2015-03-21T12:10:06.574Z,"9km WNW of Cobb, California",earthquake
2015-03-21T11:45:29.120Z,39.3458,-120.0175,6.83,0.48,ml,6,185.63,0.054,,nn,nn00487624,2015-03-21T11:46:35.008Z,"11km NNW of Incline Village, Nevada",earthquake
2015-03-21T11:39:53.160Z,33.4698333,-116.5695,8.5,0.5,ml,24,78,0.0369,0.14,ci,ci37345008,2015-03-21T11:43:37.806Z,"14km SE of Anza, California",earthquake
2015-03-21T11:33:37.060Z,33.4755,-116.5693333,8.75,1.03,ml,39,39,0.03348,0.22,ci,ci37344992,2015-03-21T11:37:46.510Z,"13km SE of Anza, California",earthquake
2015-03-21T11:19:51.620Z,38.8148346,-122.8195038,2.95,0.81,md,14,67,0.009624,0.02,nc,nc72414990,2015-03-21T11:34:05.503Z,"6km NW of The Geysers, California",earthquake
2015-03-21T11:14:04.390Z,-36.1837,-73.4279,11.39,4.8,mb,,143,0.734,0.7,us,us10001pdy,2015-03-21T12:18:14.633Z,"64km NW of Tome, Chile",earthquake
2015-03-21T11:10:17.580Z,50.4983,-172.9633,10,5.1,mb,,149,1.873,0.84,us,us10001pdu,2015-03-21T11:55:15.212Z,"207km SSE of Atka, Alaska",earthquake
2015-03-21T11:04:21.800Z,20.0068,-155.6337,12.3,1.8,md,,161.999987040001,0.1527136,0.25,hv,hv60877076,2015-03-21T11:07:42.000Z,"4km ESE of Waimea, Hawaii",earthquake
2015-03-21T10:59:42.790Z,33.4373333,-116.573,9.71,0.38,ml,11,163,0.0622,0.21,ci,ci37344984,2015-03-21T11:03:36.167Z,"16km SE of Anza, California",earthquake
2015-03-21T10:58:45.870Z,36.5973,-98.3441,5,2.9,mb_lg,,86,0.232,0.58,us,us10001pds,2015-03-21T11:50:44.822Z,"8km NW of Helena, Oklahoma",earthquake
2015-03-21T10:55:29.100Z,18.1105,-66.91,9,1.6,Md,3,190.8,0.17786643,0.05,pr,pr15080003,2015-03-21T12:19:58.503Z,"6km NE of Sabana Grande, Puerto Rico",earthquake
2015-03-21T10:49:43.000Z,61.5079,-149.9004,35.7,1.3,ml,,,,0.31,ak,ak11532977,2015-03-21T11:15:44.813Z,"3km ESE of Big Lake, Alaska",earthquake
2015-03-21T10:40:02.720Z,33.4723333,-116.5693333,8.23,1.69,ml,20,80,0.03539,0.18,ci,ci37344976,2015-03-21T10:44:50.607Z,"13km SE of Anza, California",earthquake
2015-03-21T10:39:42.560Z,33.4723333,-116.5755,8.81,1.88,ml,68,58,0.03155,0.25,ci,ci37344968,2015-03-21T10:50:33.510Z,"13km SE of Anza, California",earthquake
2015-03-21T10:39:01.980Z,36.8093338,-121.5356674,4.87,1.58,md,33,49,0.03112,0.08,nc,nc72414970,2015-03-21T10:55:06.441Z,"4km S of San Juan Bautista, California",earthquake
2015-03-21T10:38:02.440Z,-36.1988,-73.6023,12.82,4.6,mb,,152,0.793,0.81,us,us10001pdh,2015-03-21T11:44:14.870Z,"72km NW of Talcahuano, Chile",earthquake
